Creator Name,Primary Game,Platform,Followers,Hours Streamed,Monthly Revenue (£),Satisfaction Score (1-5)
FrostPanda466,Roblox,Twitch,118571,110.0,275.37,4.0
SolarDragon686,League of Legends,twitch,91200,81.2,466.91,3.0
SavageEagle783,Valorant,Twich,70276,80.8,443.9,1.0
PrimeFalcon595,Minecraft,Twitch,12742,14.8,186.03,4.0
HyperBear769,Genshin Impact,Kick,142998,144.9,33.42,4.0
TurboMage754,Fortnite,Youtube,174705,161.0,433.98,3.0
SavagePilot664,Terraria,youtube,17141,4.0,1171.78,2.0
TurboWizard202,Minecraft,Twich,42565,33.8,1687.58,2.0
MysticRaven506,Overwatch 2,Kick,153153,162.9,1387.81,3.0
RapidLion661,League of Legends,kick,89244,99.8,1449.61,2.0
EpicLion678,FIFA 25,Twitch,35076,28.7,212.96,2.0
PixelGamer373,League of Legends,youtube,28890,38.1,802.57,2.0
EpicWolf116,FIFA 25,YouTube,113118,119.5,999.0,1.0
PrimeHawk282,Call of Duty,YouTube,125032,131.0,1050.51,5.0
MysticRaven41,FIFA 25,Kick,117508,108.7,599.66,
CosmicSniper59,Apex Legends,Twich,161777,171.7,722.49,1.0
RoyalOtter346,Among Us,Youtube,67391,89.9,1356.61,1.0
EpicComet993,Stardew Valley,YouTube,58166,55.4,970.31,5.0
SolarFalcon832,Call of Duty,TWITCH_tv,78463,86.9,1117.85,3.0
DarkTitan640,Apex Legends,twitch,64541,66.0,414.94,2.0
SolarHawk857,Fortnite,twitch,40611,41.9,1072.14,3.0
UltraHawk114,Apex Legends,twitch,9000,10.2,714.34,1.0
SilentLynx31,Fortnite,Twitch,69288,64.7,1253.81,2.0
MegaMage188,Valorant,Twitch,111407,128.6,326.17,2.0
CosmicOtter571,Genshin Impact,Youtube,2399,5.3,1176.27,5.0
SwiftLion649,Fortnite,TWITCH_tv,83162,80.2,472.95,1.0
SavageOtter402,FIFA 25,kick,107357,116.6,1180.47,3.0
LunarFox885,Stardew Valley,YouTube,93795,110.7,806.91,4.0
VortexOtter296,Genshin Impact,Twitch,140038,140.2,670.12,5.0
EpicHunter277,Valorant,Twitch,149470,146.3,497.39,3.0
FrostViper660,Valorant,Twitch,123405,128.7,614.02,2.0
EpicViper23,Apex Legends,Twich,5098,20.3,434.96,2.0
FrostSniper54,Among Us,Twitch,89418,86.6,487.83,2.0
RapidPilot470,Genshin Impact,YouTube,92151,109.4,949.54,4.0
SilentFalcon598,Roblox,kick,47385,45.7,87.93,2.0
CyberKnight838,Valorant,Twich,3520,9.6,1167.98,
RoyalPilot544,Roblox,Twitch,31931,41.8,1183.29,4.0
HyperFalcon2,Terraria,Twitch,76815,83.0,511.37,5.0
StormViper954,Minecraft,Twitch,71949,75.7,738.62,2.0
TurboPilot184,Apex Legends,Twitch,28076,33.4,244.75,5.0
GoldenBear173,Fortnite,Twitch,147475,148.7,900.53,3.0
MegaNinja748,Valorant,YouTube,156391,166.8,279.52,4.0
VortexRanger840,Terraria,Kick,45252,37.8,5.01,4.0
HyperComet423,Minecraft,YouTube,162874,167.5,1639.73,5.0
CyberWizard257,League of Legends,YouTube,860,5.2,215.4,3.0
SwiftJaguar650,Terraria,Twitch,152842,166.6,602.37,4.0
PrimeBear874,Rocket League,youtube,151150,171.4,762.51,2.0
CyberRogue129,Fortnite,YouTube,7721,4.1,947.85,3.0
VortexRanger216,Call of Duty,Kick,129573,137.8,650.37,3.0
SilentViper158,Genshin Impact,kick,148487,174.7,819.67,4.0
RoyalHawk7,Call of Duty,twitch,152349,163.3,500.32,4.0
LunarHawk418,FIFA 25,Twitch,160352,174.8,112.71,1.0
MysticWolf404,FIFA 25,Twitch,109105,100.0,628.69,5.0
PrimeComet738,Rocket League,TWITCH_tv,2983,15.9,1054.33,4.0
GoldenSniper10,Valorant,kick,135604,153.3,230.71,1.0
SavagePhoenix314,Stardew Valley,twitch,116115,111.3,769.12,5.0
PixelFalcon433,Genshin Impact,Youtube,118184,111.4,2387.46,4.0
ToxicSniper967,Valorant,YouTube,68025,76.3,592.88,
ShadowOtter109,Stardew Valley,Twitch,95053,103.8,620.24,3.0
MysticCobra275,Stardew Valley,twitch,34265,29.3,100.37,5.0
NeonWizard104,Overwatch 2,YouTube,109898,133.7,200.9,
DarkJaguar591,Apex Legends,YouTube,1240,15.4,282.81,5.0
WildMage384,FIFA 25,TWITCH_tv,124559,131.9,1021.92,3.0
LunarHawk551,Stardew Valley,Twitch,159344,153.1,248.71,2.0
PixelTiger280,Valorant,Youtube,79809,86.1,885.43,2.0
NeonComet957,Stardew Valley,Twitch,90372,92.7,310.85,3.0
NeonHawk835,Terraria,kick,65290,57.6,106.0,4.0
RoyalTitan15,GTA V,Twitch,184225,174.6,1122.5,5.0
NeonSniper200,Apex Legends,Twitch,122760,132.5,448.59,1.0
SolarKnight92,Among Us,YouTube,65680,67.7,953.56,5.0
PixelFalcon554,Minecraft,YouTube,47521,33.1,100.95,3.0
SilentTitan144,Terraria,YouTube,28367,41.1,27.12,1.0
PixelShark251,Apex Legends,TWITCH_tv,90091,84.6,708.98,5.0
LuckyEagle51,Minecraft,Twich,154663,169.8,192.61,2.0
PrimeNinja994,Overwatch 2,YouTube,128385,132.7,700.36,4.0
CyberViper890,Rocket League,TWITCH_tv,37844,40.3,713.36,4.0
TurboCobra974,Rocket League,TWITCH_tv,141086,155.0,637.84,1.0
BlazeLynx391,Minecraft,Twitch,59470,69.3,1440.89,2.0
TurboNinja447,Overwatch 2,YouTube,149631,153.6,872.72,4.0
CyberBear806,Rocket League,Twitch,52214,45.0,2385.76,2.0
GhostLion397,Overwatch 2,YouTube,106957,112.1,460.22,1.0
StormLion860,Stardew Valley,Twitch,160616,166.9,151.76,1.0
LunarViper627,Roblox,Twich,51574,47.9,332.95,5.0
FrostGamer339,Roblox,TWITCH_tv,112762,125.3,486.54,1.0
UltraJaguar957,Terraria,Kick,176233,177.7,2531.87,1.0
NeonCobra448,FIFA 25,TWITCH_tv,35415,28.8,670.02,3.0
StormKnight803,Call of Duty,Twitch,39144,17.7,1481.85,1.0
CosmicHunter788,League of Legends,youtube,114391,122.0,424.59,4.0
HyperSniper277,Rocket League,YouTube,57210,62.5,376.14,3.0
TurboFox972,Overwatch 2,youtube,21617,14.7,95.18,4.0
BlazePilot738,Minecraft,TWITCH_tv,90323,86.6,2473.65,3.0
EpicGamer84,Among Us,YouTube,126609,136.2,1863.47,4.0
SavageMage536,Genshin Impact,Kick,48435,52.8,775.85,4.0
RoyalWolf193,League of Legends,YouTube,64349,61.6,513.61,3.0
VortexHawk326,League of Legends,twitch,139754,152.5,692.38,1.0
IronEagle694,Terraria,YouTube,88086,94.6,144.12,2.0
HyperFox504,Minecraft,YouTube,146617,152.0,952.1,
LunarCobra625,Apex Legends,Twich,86893,81.5,1751.03,1.0
